,Collaborative,Description,Followers,Name,Tracks,URL,href,id
1132,False,Listen to what hypes up All-Star Andre Drummond and experience the #SoundsOfTheCity he reps: Detroit.,225291,Gameday: Andre Drummond,20,https://open.spotify.com/playlist/37i9dQZF1DXdxTsNp0Bzwq,https://api.spotify.com/v1/playlists/37i9dQZF1DXdxTsNp0Bzwq,37i9dQZF1DXdxTsNp0Bzwq
1133,False,"The World Series is here, get ready for Kansas City vs. NYM with this epic pump up playlist!",4880,Get Ready For Baseball,26,https://open.spotify.com/playlist/37i9dQZF1DWZdR4jCxPMWU,https://api.spotify.com/v1/playlists/37i9dQZF1DWZdR4jCxPMWU,37i9dQZF1DWZdR4jCxPMWU
1134,False,Celebrate Christmas with your favorite Christian artists and songs!,43583,Christian Christmas,90,https://open.spotify.com/playlist/37i9dQZF1DWViXqZVTGO3Z,https://api.spotify.com/v1/playlists/37i9dQZF1DWViXqZVTGO3Z,37i9dQZF1DWViXqZVTGO3Z
1135,False,The freshest sounds in Christian and positive  Hip Hop.  Cover: Joey Vantes,70833,The Flow,45,https://open.spotify.com/playlist/37i9dQZF1DXc4BD3pzYdKY,https://api.spotify.com/v1/playlists/37i9dQZF1DXc4BD3pzYdKY,37i9dQZF1DXc4BD3pzYdKY
1136,False,Songs of praise and worship from some of today's leading inspirational artists. Cover: S.O.,110607,Blessings,65,https://open.spotify.com/playlist/37i9dQZF1DX7Bi6W3YuUlA,https://api.spotify.com/v1/playlists/37i9dQZF1DX7Bi6W3YuUlA,37i9dQZF1DX7Bi6W3YuUlA
1137,False,"The best mix of  today's Christian music worldwide! Featuring songs from Lauren Daigle, for KING & COUNTRY, Casting Crowns and new music from Hillsong UNITED  Cover:  Hillsong UNITED",1054136,Top Christian,78,https://open.spotify.com/playlist/37i9dQZF1DXcb6CQIjdqKy,https://api.spotify.com/v1/playlists/37i9dQZF1DXcb6CQIjdqKy,37i9dQZF1DXcb6CQIjdqKy
1138,False,SXSW has deep roots in Austin. Get a sense of the city and all its sounds.,672,Austin Sounds,41,https://open.spotify.com/playlist/2d96NZvM6U7G14LDQdNfwS,https://api.spotify.com/v1/playlists/2d96NZvM6U7G14LDQdNfwS,2d96NZvM6U7G14LDQdNfwS
1139,False,The sun is setting and the night takes over. Enjoy these while letting the evening play on.,495,Sunset in Austin,44,https://open.spotify.com/playlist/1MXbpQ8OiNsYtQxiXexPJ7,https://api.spotify.com/v1/playlists/1MXbpQ8OiNsYtQxiXexPJ7,1MXbpQ8OiNsYtQxiXexPJ7
1140,False,"The best of Katy Perry, all in one playlist.",557909,This Is Katy Perry,54,https://open.spotify.com/playlist/37i9dQZF1DX2jD2cAwnIit,https://api.spotify.com/v1/playlists/37i9dQZF1DX2jD2cAwnIit,37i9dQZF1DX2jD2cAwnIit
1141,False,Get ready for the Super Bowl with this awesome party mix curated by sportscaster Erin Andrews,34072,The Big Game,58,https://open.spotify.com/playlist/37i9dQZF1DX7wecgiVCMdD,https://api.spotify.com/v1/playlists/37i9dQZF1DX7wecgiVCMdD,37i9dQZF1DX7wecgiVCMdD
1142,False,"Chips? Dip? Tunes? Touchdown! These songs scored big during Super Bowl’s most memorable halftime shows. Cover: <a href=""spotify:artist:3fMbdgg4jU18AjLCKBhRSm"">Michael Jackson</a>",9328,Halftime Hits,41,https://open.spotify.com/playlist/37i9dQZF1DWWNQEmXRHxVe,https://api.spotify.com/v1/playlists/37i9dQZF1DWWNQEmXRHxVe,37i9dQZF1DWWNQEmXRHxVe
1143,False,"A collection of live, intimate, exclusive performances from the most exciting rock bands in the world.",275,Spotify Sessions - Rock,38,https://open.spotify.com/playlist/37i9dQZF1DX1WIbwSgRMO3,https://api.spotify.com/v1/playlists/37i9dQZF1DX1WIbwSgRMO3,37i9dQZF1DX1WIbwSgRMO3
1144,False,"A collection of live, intimate, exclusive performances from the most exciting pop artists in the world.",4807,Spotify Sessions - Pop,44,https://open.spotify.com/playlist/37i9dQZF1DX3qk5khmafw8,https://api.spotify.com/v1/playlists/37i9dQZF1DX3qk5khmafw8,37i9dQZF1DX3qk5khmafw8
1145,False,"Get ready for the big game with these intense, pump up tracks.",89105,Ultimate Pump Up,25,https://open.spotify.com/playlist/37i9dQZF1DWXTcPFeNCMUP,https://api.spotify.com/v1/playlists/37i9dQZF1DWXTcPFeNCMUP,37i9dQZF1DWXTcPFeNCMUP
1146,False,Get energized with these upbeat tracks.,103592,Spin Class,30,https://open.spotify.com/playlist/37i9dQZF1DX0iqKPhkOx4k,https://api.spotify.com/v1/playlists/37i9dQZF1DX0iqKPhkOx4k,37i9dQZF1DX0iqKPhkOx4k
1147,False,Hear the latest releases from bluegrass and string bands alike. Cover: Trampled by Turtles,32761,Grass Roots,100,https://open.spotify.com/playlist/37i9dQZF1DXa2HpTqP3clz,https://api.spotify.com/v1/playlists/37i9dQZF1DXa2HpTqP3clz,37i9dQZF1DXa2HpTqP3clz
1148,False,"Wrap yourself up and revel in a gray day with these dusky, dreamy tracks.",326750,Rainy Day,41,https://open.spotify.com/playlist/37i9dQZF1DXbvABJXBIyiY,https://api.spotify.com/v1/playlists/37i9dQZF1DXbvABJXBIyiY,37i9dQZF1DXbvABJXBIyiY
1149,False,"Beautifully dark, dramatic tracks.",338970,Dark & Stormy,30,https://open.spotify.com/playlist/37i9dQZF1DX2pSTOxoPbx9,https://api.spotify.com/v1/playlists/37i9dQZF1DX2pSTOxoPbx9,37i9dQZF1DX2pSTOxoPbx9
